June 20, 2016   18:11:19
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\2000 rpm cv2.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.267e-5A
Ah = 1.260e-4C

Segment 4:

Segment 5:
Ep = 0.159V
ip = 1.185e-5A
Ah = 1.176e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:
Ep = -0.037V
ip = -2.681e-8A
Ah = -1.156e-7C

Ep = -0.281V
ip = -1.960e-8A
Ah = -7.120e-8C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A
0.277	2.339e-5	-7.610e-6
0.278	2.338e-5	-7.624e-6
0.279	2.339e-5	-7.615e-6
0.280	2.336e-5	-7.613e-6
0.281	2.339e-5	-7.610e-6
0.282	2.337e-5	-7.611e-6
0.283	2.340e-5	-7.612e-6
0.284	2.345e-5	-7.623e-6
0.285	2.341e-5	-7.616e-6
0.286	2.343e-5	-7.621e-6
0.287	2.343e-5	-7.611e-6
0.288	2.339e-5	-7.610e-6
0.289	2.339e-5	-7.612e-6
0.290	2.337e-5	-7.623e-6
0.291	2.337e-5	-7.613e-6
0.292	2.339e-5	-7.618e-6
0.293	2.336e-5	-7.623e-6
0.294	2.339e-5	-7.615e-6
0.295	2.343e-5	-7.613e-6
0.296	2.341e-5	-7.623e-6
0.297	2.346e-5	-7.602e-6
0.298	2.346e-5	-7.627e-6
0.299	2.346e-5	-7.619e-6
0.300	2.348e-5	-7.628e-6
0.301	2.345e-5	-7.617e-6
0.302	2.346e-5	-7.618e-6
0.303	2.346e-5	-7.615e-6
0.304	2.341e-5	-7.612e-6
0.305	2.345e-5	-7.618e-6
0.306	2.344e-5	-7.618e-6
0.307	2.348e-5	-7.623e-6
0.308	2.352e-5	-7.619e-6
0.309	2.351e-5	-7.626e-6
0.310	2.351e-5	-7.620e-6
0.311	2.352e-5	-7.620e-6
0.312	2.350e-5	-7.612e-6
0.313	2.353e-5	-7.614e-6
0.314	2.352e-5	-7.615e-6
0.315	2.351e-5	-7.614e-6
0.316	2.354e-5	-7.603e-6
0.317	2.351e-5	-7.608e-6
0.318	2.354e-5	-7.620e-6
0.319	2.357e-5	-7.608e-6
0.320	2.355e-5	-7.612e-6
0.321	2.359e-5	-7.615e-6
0.322	2.361e-5	-7.615e-6
0.323	2.360e-5	-7.623e-6
0.324	2.363e-5	-7.611e-6
0.325	2.358e-5	-7.611e-6
0.326	2.359e-5	-7.616e-6
0.327	2.358e-5	-7.624e-6
0.328	2.354e-5	-7.620e-6
0.329	2.356e-5	-7.617e-6
0.330	2.356e-5	-7.618e-6
0.331	2.358e-5	-7.623e-6
0.332	2.360e-5	-7.620e-6
0.333	2.354e-5	-7.634e-6
0.334	2.355e-5	-7.621e-6
0.335	2.355e-5	-7.616e-6
0.336	2.350e-5	-7.611e-6
0.337	2.352e-5	-7.627e-6
0.338	2.351e-5	-7.614e-6
0.339	2.351e-5	-7.618e-6
0.340	2.355e-5	-7.616e-6
0.341	2.352e-5	-7.615e-6
0.342	2.353e-5	-7.615e-6
0.343	2.354e-5	-7.624e-6
0.344	2.350e-5	-7.627e-6
0.345	2.353e-5	-7.618e-6
0.346	2.351e-5	-7.616e-6
0.347	2.353e-5	-7.625e-6
0.348	2.357e-5	-7.618e-6
0.349	2.355e-5	-7.619e-6
0.350	2.357e-5	-7.621e-6
0.351	2.360e-5	-7.624e-6
0.352	2.357e-5	-7.617e-6
0.353	2.362e-5	-7.626e-6
0.354	2.359e-5	-7.625e-6
0.355	2.356e-5	-7.620e-6
0.356	2.358e-5	-7.620e-6
0.357	2.354e-5	-7.623e-6
0.358	2.358e-5	-7.628e-6
0.359	2.359e-5	-7.627e-6
0.360	2.356e-5	-7.624e-6
0.361	2.359e-5	-7.628e-6
0.362	2.357e-5	-7.618e-6
0.363	2.357e-5	-7.618e-6
0.364	2.360e-5	-7.618e-6
0.365	2.358e-5	-7.626e-6
0.366	2.362e-5	-7.625e-6
0.367	2.364e-5	-7.625e-6
0.368	2.359e-5	-7.626e-6
0.369	2.363e-5	-7.631e-6
0.370	2.363e-5	-7.628e-6
0.371	2.364e-5	-7.627e-6
0.372	2.367e-5	-7.640e-6
0.373	2.367e-5	-7.628e-6
0.374	2.370e-5	-7.631e-6
0.375	2.373e-5	-7.621e-6
0.376	2.371e-5	-7.630e-6
0.377	2.375e-5	-7.636e-6
0.378	2.374e-5	-7.639e-6
0.379	2.372e-5	-7.634e-6
0.380	2.375e-5	-7.633e-6
0.381	2.370e-5	-7.631e-6
0.382	2.374e-5	-7.628e-6
0.383	2.378e-5	-7.629e-6
0.384	2.374e-5	-7.631e-6
0.385	2.379e-5	-7.625e-6
0.386	2.381e-5	-7.634e-6
0.387	2.380e-5	-7.644e-6
0.388	2.382e-5	-7.629e-6
0.389	2.380e-5	-7.644e-6
0.390	2.381e-5	-7.645e-6
0.391	2.381e-5	-7.642e-6
0.392	2.376e-5	-7.636e-6
0.393	2.379e-5	-7.635e-6
0.394	2.378e-5	-7.635e-6
0.395	2.379e-5	-7.638e-6
0.396	2.381e-5	-7.643e-6
0.397	2.377e-5	-7.642e-6
0.398	2.380e-5	-7.639e-6
0.399	2.383e-5	-7.637e-6
0.400	2.378e-5	-7.635e-6
0.401	2.383e-5	-7.628e-6
0.402	2.384e-5	-7.633e-6
0.403	2.384e-5	-7.642e-6
0.404	2.388e-5	-7.636e-6
0.405	2.384e-5	-7.637e-6
0.406	2.386e-5	-7.630e-6
0.407	2.387e-5	-7.630e-6
0.408	2.386e-5	-7.635e-6
0.409	2.396e-5	-7.636e-6
0.410	2.405e-5	-7.627e-6
0.411	2.403e-5	-7.627e-6
0.412	2.405e-5	-7.628e-6
0.413	2.400e-5	-7.638e-6
0.414	2.402e-5	-7.635e-6
0.415	2.403e-5	-7.633e-6
0.416	2.402e-5	-7.632e-6
0.417	2.406e-5	-7.632e-6
0.418	2.407e-5	-7.634e-6
0.419	2.408e-5	-7.634e-6
0.420	2.409e-5	-7.638e-6
0.421	2.406e-5	-7.636e-6
0.422	2.409e-5	-7.637e-6
0.423	2.409e-5	-7.639e-6
0.424	2.408e-5	-7.636e-6
0.425	2.412e-5	-7.636e-6
0.426	2.411e-5	-7.636e-6
0.427	2.413e-5	-7.639e-6
0.428	2.415e-5	-7.629e-6
0.429	2.412e-5	-7.639e-6
0.430	2.416e-5	-7.642e-6
0.431	2.418e-5	-7.632e-6
0.432	2.414e-5	-7.634e-6
0.433	2.420e-5	-7.640e-6
0.434	2.421e-5	-7.631e-6
0.435	2.420e-5	-7.635e-6
0.436	2.424e-5	-7.636e-6
0.437	2.422e-5	-7.626e-6
0.438	2.423e-5	-7.632e-6
0.439	2.427e-5	-7.634e-6
0.440	2.423e-5	-7.637e-6
0.441	2.427e-5	-7.633e-6
0.442	2.427e-5	-7.637e-6
0.443	2.429e-5	-7.635e-6
