June 20, 2016   17:21:11
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\1000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.127V
ip = 6.858e-6A
Ah = 6.810e-5C

Segment 4:

Segment 5:
Ep = 0.127V
ip = 4.556e-6A
Ah = 4.718e-5C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.014V
ip = -3.683e-11A
Ah = -1.393e-10C

Segment 3:
Segment 4:
Ep = -0.039V
ip = -2.221e-11A
Ah = -4.340e-11C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A
0.365	4.341e-5	-7.641e-9
0.366	4.341e-5	-7.644e-9
0.367	4.342e-5	-7.640e-9
0.368	4.334e-5	-7.636e-9
0.369	4.337e-5	-7.645e-9
0.370	4.333e-5	-7.636e-9
0.371	4.329e-5	-7.647e-9
0.372	4.328e-5	-7.649e-9
0.373	4.321e-5	-7.644e-9
0.374	4.317e-5	-7.642e-9
0.375	4.315e-5	-7.640e-9
0.376	4.306e-5	-7.641e-9
0.377	4.306e-5	-7.636e-9
0.378	4.302e-5	-7.645e-9
0.379	4.297e-5	-7.647e-9
0.380	4.296e-5	-7.646e-9
0.381	4.285e-5	-7.645e-9
0.382	4.284e-5	-7.647e-9
0.383	4.284e-5	-7.639e-9
0.384	4.273e-5	-7.645e-9
0.385	4.276e-5	-7.651e-9
0.386	4.270e-5	-7.650e-9
0.387	4.266e-5	-7.645e-9
0.388	4.266e-5	-7.644e-9
0.389	4.258e-5	-7.650e-9
0.390	4.254e-5	-7.651e-9
0.391	4.251e-5	-7.645e-9
0.392	4.240e-5	-7.637e-9
0.393	4.239e-5	-7.644e-9
0.394	4.233e-5	-7.640e-9
0.395	4.228e-5	-7.649e-9
0.396	4.225e-5	-7.643e-9
0.397	4.214e-5	-7.652e-9
0.398	4.213e-5	-7.645e-9
0.399	4.210e-5	-7.653e-9
0.400	4.199e-5	-7.643e-9
0.401	4.199e-5	-7.644e-9
0.402	4.194e-5	-7.650e-9
0.403	4.188e-5	-7.643e-9
0.404	4.186e-5	-7.643e-9
0.405	4.176e-5	-7.639e-9
0.406	4.171e-5	-7.640e-9
0.407	4.169e-5	-7.639e-9
0.408	4.158e-5	-7.639e-9
0.409	4.165e-5	-7.635e-9
0.410	4.171e-5	-7.635e-9
0.411	4.162e-5	-7.633e-9
0.412	4.157e-5	-7.636e-9
0.413	4.144e-5	-7.635e-9
0.414	4.141e-5	-7.632e-9
0.415	4.136e-5	-7.631e-9
0.416	4.127e-5	-7.628e-9
0.417	4.127e-5	-7.641e-9
0.418	4.123e-5	-7.636e-9
