June 20, 2016   16:54:22
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\750 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.112e-5A
Ah = 1.080e-4C

Segment 4:

Segment 5:
Ep = 0.153V
ip = 1.094e-5A
Ah = 1.109e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:

Segment 3:
Segment 4:
Ep = -0.245V
ip = -1.708e-11A
Ah = -1.633e-11C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A
0.279	2.754e-5	-7.638e-9
0.280	2.749e-5	-7.622e-9
0.281	2.753e-5	-7.633e-9
0.282	2.751e-5	-7.634e-9
0.283	2.752e-5	-7.635e-9
0.284	2.755e-5	-7.632e-9
0.285	2.749e-5	-7.631e-9
0.286	2.750e-5	-7.633e-9
0.287	2.754e-5	-7.635e-9
0.288	2.749e-5	-7.638e-9
0.289	2.755e-5	-7.631e-9
0.290	2.754e-5	-7.634e-9
0.291	2.753e-5	-7.642e-9
0.292	2.756e-5	-7.635e-9
0.293	2.751e-5	-7.632e-9
0.294	2.753e-5	-7.635e-9
0.295	2.757e-5	-7.638e-9
0.296	2.751e-5	-7.644e-9
0.297	2.754e-5	-7.632e-9
0.298	2.753e-5	-7.643e-9
0.299	2.754e-5	-7.635e-9
0.300	2.758e-5	-7.632e-9
0.301	2.753e-5	-7.640e-9
0.302	2.755e-5	-7.632e-9
0.303	2.757e-5	-7.641e-9
0.304	2.751e-5	-7.639e-9
0.305	2.757e-5	-7.637e-9
0.306	2.756e-5	-7.645e-9
0.307	2.759e-5	-7.637e-9
0.308	2.763e-5	-7.633e-9
0.309	2.758e-5	-7.636e-9
0.310	2.759e-5	-7.640e-9
0.311	2.760e-5	-7.636e-9
0.312	2.755e-5	-7.629e-9
0.313	2.760e-5	-7.625e-9
0.314	2.760e-5	-7.634e-9
0.315	2.758e-5	-7.637e-9
0.316	2.761e-5	-7.636e-9
0.317	2.754e-5	-7.627e-9
0.318	2.757e-5	-7.632e-9
0.319	2.758e-5	-7.621e-9
0.320	2.754e-5	-7.630e-9
0.321	2.758e-5	-7.633e-9
0.322	2.757e-5	-7.631e-9
0.323	2.755e-5	-7.627e-9
0.324	2.759e-5	-7.632e-9
0.325	2.754e-5	-7.633e-9
0.326	2.756e-5	-7.630e-9
0.327	2.758e-5	-7.630e-9
0.328	2.755e-5	-7.632e-9
0.329	2.759e-5	-7.633e-9
0.330	2.758e-5	-7.632e-9
0.331	2.756e-5	-7.634e-9
0.332	2.761e-5	-7.640e-9
0.333	2.752e-5	-7.643e-9
0.334	2.757e-5	-7.637e-9
0.335	2.759e-5	-7.638e-9
0.336	2.754e-5	-7.633e-9
0.337	2.759e-5	-7.639e-9
0.338	2.757e-5	-7.636e-9
0.339	2.757e-5	-7.637e-9
0.340	2.762e-5	-7.631e-9
0.341	2.758e-5	-7.637e-9
0.342	2.759e-5	-7.647e-9
0.343	2.761e-5	-7.632e-9
0.344	2.756e-5	-7.644e-9
0.345	2.762e-5	-7.653e-9
0.346	2.762e-5	-7.642e-9
0.347	2.762e-5	-7.652e-9
0.348	2.767e-5	-7.637e-9
0.349	2.760e-5	-7.644e-9
0.350	2.764e-5	-7.633e-9
0.351	2.767e-5	-7.641e-9
0.352	2.762e-5	-7.639e-9
0.353	2.768e-5	-7.649e-9
0.354	2.768e-5	-7.636e-9
0.355	2.765e-5	-7.641e-9
0.356	2.766e-5	-7.637e-9
0.357	2.760e-5	-7.645e-9
0.358	2.765e-5	-7.642e-9
0.359	2.765e-5	-7.640e-9
0.360	2.761e-5	-7.643e-9
0.361	2.764e-5	-7.644e-9
0.362	2.761e-5	-7.639e-9
0.363	2.762e-5	-7.634e-9
0.364	2.766e-5	-7.637e-9
0.365	2.758e-5	-7.644e-9
0.366	2.760e-5	-7.636e-9
