June 22, 2016   17:42:48
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\2000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.175V
ip = 1.464e-5A
Ah = 1.223e-4C

Segment 4:
Ep = 0.000V
ip = -8.158e-7A
Ah = -9.230e-6C

Segment 5:
Ep = 0.183V
ip = 1.432e-5A
Ah = 1.117e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.087V
ip = -1.915e-8A
Ah = -2.458e-8C

Segment 3:
Segment 4:
Ep = -0.073V
ip = -2.929e-8A
Ah = -9.015e-8C

Segment 5:
Segment 6:
Ep = -0.454V
ip = -3.884e-8A
Ah = -3.215e-8C

Potential/V	i1/A	i2/A
0.238	2.281e-5	-7.596e-6
0.239	2.284e-5	-7.600e-6
0.240	2.278e-5	-7.606e-6
0.241	2.283e-5	-7.597e-6
0.242	2.282e-5	-7.598e-6
0.243	2.283e-5	-7.602e-6
0.244	2.286e-5	-7.601e-6
0.245	2.283e-5	-7.598e-6
0.246	2.283e-5	-7.604e-6
0.247	2.286e-5	-7.601e-6
0.248	2.282e-5	-7.610e-6
0.249	2.286e-5	-7.605e-6
0.250	2.285e-5	-7.597e-6
0.251	2.285e-5	-7.598e-6
0.252	2.289e-5	-7.598e-6
0.253	2.282e-5	-7.604e-6
0.254	2.285e-5	-7.607e-6
0.255	2.288e-5	-7.599e-6
0.256	2.287e-5	-7.596e-6
0.257	2.290e-5	-7.601e-6
0.258	2.290e-5	-7.599e-6
0.259	2.288e-5	-7.596e-6
0.260	2.292e-5	-7.602e-6
0.261	2.287e-5	-7.615e-6
0.262	2.290e-5	-7.620e-6
0.263	2.291e-5	-7.626e-6
0.264	2.289e-5	-7.614e-6
0.265	2.293e-5	-7.611e-6
0.266	2.292e-5	-7.606e-6
0.267	2.292e-5	-7.609e-6
0.268	2.296e-5	-7.608e-6
0.269	2.292e-5	-7.602e-6
0.270	2.295e-5	-7.608e-6
0.271	2.299e-5	-7.604e-6
0.272	2.294e-5	-7.605e-6
0.273	2.299e-5	-7.611e-6
0.274	2.298e-5	-7.611e-6
0.275	2.297e-5	-7.610e-6
0.276	2.303e-5	-7.607e-6
0.277	2.299e-5	-7.607e-6
0.278	2.300e-5	-7.609e-6
0.279	2.303e-5	-7.619e-6
0.280	2.300e-5	-7.611e-6
0.281	2.304e-5	-7.610e-6
0.282	2.302e-5	-7.608e-6
0.283	2.303e-5	-7.614e-6
0.284	2.308e-5	-7.612e-6
0.285	2.303e-5	-7.615e-6
0.286	2.304e-5	-7.612e-6
0.287	2.308e-5	-7.609e-6
0.288	2.304e-5	-7.611e-6
0.289	2.308e-5	-7.616e-6
0.290	2.308e-5	-7.614e-6
0.291	2.307e-5	-7.622e-6
0.292	2.310e-5	-7.617e-6
0.293	2.305e-5	-7.620e-6
0.294	2.308e-5	-7.620e-6
0.295	2.311e-5	-7.617e-6
0.296	2.308e-5	-7.621e-6
0.297	2.311e-5	-7.609e-6
0.298	2.310e-5	-7.610e-6
0.299	2.309e-5	-7.608e-6
0.300	2.313e-5	-7.611e-6
0.301	2.309e-5	-7.618e-6
0.302	2.312e-5	-7.617e-6
0.303	2.314e-5	-7.616e-6
0.304	2.308e-5	-7.615e-6
0.305	2.314e-5	-7.619e-6
0.306	2.313e-5	-7.622e-6
0.307	2.317e-5	-7.624e-6
0.308	2.322e-5	-7.615e-6
0.309	2.318e-5	-7.620e-6
0.310	2.318e-5	-7.614e-6
0.311	2.320e-5	-7.620e-6
0.312	2.317e-5	-7.616e-6
0.313	2.322e-5	-7.622e-6
0.314	2.322e-5	-7.621e-6
0.315	2.322e-5	-7.621e-6
0.316	2.325e-5	-7.625e-6
0.317	2.320e-5	-7.620e-6
0.318	2.322e-5	-7.620e-6
0.319	2.325e-5	-7.622e-6
0.320	2.321e-5	-7.620e-6
0.321	2.326e-5	-7.623e-6
0.322	2.327e-5	-7.620e-6
0.323	2.326e-5	-7.617e-6
0.324	2.330e-5	-7.617e-6
0.325	2.326e-5	-7.614e-6
0.326	2.329e-5	-7.620e-6
0.327	2.333e-5	-7.623e-6
0.328	2.329e-5	-7.620e-6
0.329	2.335e-5	-7.623e-6
0.330	2.335e-5	-7.621e-6
0.331	2.334e-5	-7.616e-6
0.332	2.338e-5	-7.619e-6
0.333	2.332e-5	-7.632e-6
0.334	2.338e-5	-7.612e-6
0.335	2.340e-5	-7.618e-6
0.336	2.336e-5	-7.627e-6
0.337	2.342e-5	-7.625e-6
0.338	2.341e-5	-7.619e-6
0.339	2.342e-5	-7.629e-6
0.340	2.346e-5	-7.617e-6
0.341	2.343e-5	-7.625e-6
0.342	2.345e-5	-7.624e-6
0.343	2.348e-5	-7.623e-6
0.344	2.345e-5	-7.618e-6
0.345	2.350e-5	-7.628e-6
0.346	2.350e-5	-7.621e-6
0.347	2.350e-5	-7.622e-6
0.348	2.356e-5	-7.627e-6
0.349	2.350e-5	-7.618e-6
0.350	2.352e-5	-7.623e-6
0.351	2.357e-5	-7.617e-6
0.352	2.355e-5	-7.621e-6
0.353	2.360e-5	-7.621e-6
0.354	2.361e-5	-7.624e-6
0.355	2.360e-5	-7.621e-6
0.356	2.365e-5	-7.628e-6
0.357	2.361e-5	-7.627e-6
0.358	2.368e-5	-7.635e-6
0.359	2.371e-5	-7.623e-6
0.360	2.367e-5	-7.622e-6
0.361	2.373e-5	-7.621e-6
0.362	2.371e-5	-7.622e-6
0.363	2.371e-5	-7.616e-6
0.364	2.376e-5	-7.613e-6
0.365	2.372e-5	-7.619e-6
0.366	2.376e-5	-7.619e-6
0.367	2.379e-5	-7.619e-6
0.368	2.376e-5	-7.633e-6
0.369	2.380e-5	-7.611e-6
0.370	2.381e-5	-7.623e-6
0.371	2.381e-5	-7.621e-6
0.372	2.386e-5	-7.617e-6
0.373	2.384e-5	-7.625e-6
0.374	2.388e-5	-7.605e-6
0.375	2.390e-5	-7.626e-6
0.376	2.387e-5	-7.603e-6
0.377	2.393e-5	-7.626e-6
0.378	2.394e-5	-7.622e-6
0.379	2.395e-5	-7.624e-6
0.380	2.400e-5	-7.627e-6
0.381	2.394e-5	-7.617e-6
0.382	2.398e-5	-7.622e-6
0.383	2.403e-5	-7.622e-6
0.384	2.398e-5	-7.622e-6
0.385	2.404e-5	-7.626e-6
0.386	2.405e-5	-7.630e-6
0.387	2.406e-5	-7.625e-6
0.388	2.411e-5	-7.631e-6
0.389	2.407e-5	-7.633e-6
0.390	2.410e-5	-7.627e-6
0.391	2.414e-5	-7.627e-6
0.392	2.412e-5	-7.621e-6
0.393	2.416e-5	-7.619e-6
0.394	2.417e-5	-7.628e-6
0.395	2.417e-5	-7.633e-6
0.396	2.422e-5	-7.627e-6
0.397	2.418e-5	-7.625e-6
0.398	2.422e-5	-7.632e-6
0.399	2.426e-5	-7.631e-6
0.400	2.423e-5	-7.630e-6
0.401	2.429e-5	-7.629e-6
0.402	2.429e-5	-7.632e-6
0.403	2.429e-5	-7.627e-6
0.404	2.435e-5	-7.627e-6
0.405	2.432e-5	-7.632e-6
0.406	2.435e-5	-7.634e-6
0.407	2.438e-5	-7.635e-6
0.408	2.435e-5	-7.630e-6
0.409	2.448e-5	-7.631e-6
