June 22, 2016   14:38:46
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\750 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.156V
ip = 6.743e-6A
Ah = 7.742e-5C

Segment 4:

Segment 5:
Ep = 0.159V
ip = 7.667e-6A
Ah = 8.570e-5C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.041V
ip = -3.043e-8A
Ah = -1.289e-7C

Segment 3:

Segment 4:

Segment 5:

Segment 6:
Ep = -0.163V
ip = -2.353e-8A
Ah = -6.231e-8C

Potential/V	i1/A	i2/A
0.299	3.174e-5	-7.603e-6
0.300	3.179e-5	-7.599e-6
0.301	3.175e-5	-7.603e-6
0.302	3.178e-5	-7.605e-6
0.303	3.182e-5	-7.602e-6
0.304	3.177e-5	-7.610e-6
0.305	3.180e-5	-7.604e-6
0.306	3.179e-5	-7.603e-6
0.307	3.182e-5	-7.604e-6
0.308	3.187e-5	-7.602e-6
0.309	3.181e-5	-7.601e-6
0.310	3.181e-5	-7.607e-6
0.311	3.182e-5	-7.605e-6
0.312	3.178e-5	-7.600e-6
0.313	3.180e-5	-7.604e-6
0.314	3.177e-5	-7.609e-6
0.315	3.177e-5	-7.602e-6
0.316	3.180e-5	-7.603e-6
0.317	3.173e-5	-7.604e-6
0.318	3.174e-5	-7.608e-6
0.319	3.177e-5	-7.604e-6
0.320	3.172e-5	-7.605e-6
0.321	3.177e-5	-7.601e-6
0.322	3.176e-5	-7.607e-6
0.323	3.174e-5	-7.597e-6
0.324	3.179e-5	-7.599e-6
0.325	3.172e-5	-7.594e-6
0.326	3.175e-5	-7.596e-6
0.327	3.177e-5	-7.600e-6
0.328	3.171e-5	-7.607e-6
0.329	3.176e-5	-7.607e-6
0.330	3.174e-5	-7.606e-6
0.331	3.172e-5	-7.600e-6
0.332	3.177e-5	-7.606e-6
0.333	3.167e-5	-7.612e-6
0.334	3.171e-5	-7.602e-6
0.335	3.174e-5	-7.606e-6
0.336	3.167e-5	-7.609e-6
0.337	3.172e-5	-7.611e-6
0.338	3.170e-5	-7.609e-6
0.339	3.168e-5	-7.610e-6
0.340	3.170e-5	-7.605e-6
0.341	3.164e-5	-7.606e-6
0.342	3.166e-5	-7.600e-6
0.343	3.169e-5	-7.601e-6
0.344	3.163e-5	-7.603e-6
0.345	3.168e-5	-7.609e-6
0.346	3.166e-5	-7.607e-6
0.347	3.166e-5	-7.605e-6
0.348	3.170e-5	-7.600e-6
0.349	3.164e-5	-7.604e-6
0.350	3.167e-5	-7.603e-6
0.351	3.169e-5	-7.607e-6
0.352	3.163e-5	-7.603e-6
0.353	3.169e-5	-7.609e-6
0.354	3.170e-5	-7.610e-6
0.355	3.166e-5	-7.611e-6
0.356	3.171e-5	-7.616e-6
0.357	3.166e-5	-7.613e-6
0.358	3.169e-5	-7.608e-6
0.359	3.174e-5	-7.613e-6
0.360	3.168e-5	-7.611e-6
0.361	3.171e-5	-7.607e-6
0.362	3.168e-5	-7.607e-6
0.363	3.168e-5	-7.613e-6
0.364	3.172e-5	-7.606e-6
0.365	3.164e-5	-7.614e-6
0.366	3.168e-5	-7.607e-6
0.367	3.170e-5	-7.606e-6
0.368	3.164e-5	-7.611e-6
0.369	3.169e-5	-7.608e-6
0.370	3.167e-5	-7.613e-6
0.371	3.166e-5	-7.611e-6
0.372	3.170e-5	-7.609e-6
0.373	3.165e-5	-7.608e-6
0.374	3.166e-5	-7.609e-6
0.375	3.167e-5	-7.609e-6
0.376	3.162e-5	-7.616e-6
0.377	3.166e-5	-7.617e-6
0.378	3.165e-5	-7.618e-6
0.379	3.164e-5	-7.611e-6
0.380	3.168e-5	-7.610e-6
0.381	3.159e-5	-7.614e-6
0.382	3.162e-5	-7.605e-6
0.383	3.164e-5	-7.617e-6
0.384	3.157e-5	-7.617e-6
0.385	3.162e-5	-7.612e-6
0.386	3.161e-5	-7.615e-6
0.387	3.159e-5	-7.606e-6
0.388	3.161e-5	-7.612e-6
0.389	3.156e-5	-7.615e-6
0.390	3.159e-5	-7.621e-6
0.391	3.160e-5	-7.616e-6
0.392	3.156e-5	-7.619e-6
0.393	3.160e-5	-7.614e-6
0.394	3.157e-5	-7.615e-6
0.395	3.158e-5	-7.623e-6
0.396	3.162e-5	-7.618e-6
0.397	3.156e-5	-7.629e-6
0.398	3.159e-5	-7.614e-6
0.399	3.163e-5	-7.622e-6
0.400	3.158e-5	-7.624e-6
0.401	3.163e-5	-7.620e-6
0.402	3.163e-5	-7.628e-6
0.403	3.162e-5	-7.621e-6
0.404	3.165e-5	-7.622e-6
0.405	3.161e-5	-7.621e-6
0.406	3.162e-5	-7.624e-6
0.407	3.164e-5	-7.622e-6
0.408	3.160e-5	-7.626e-6
0.409	3.173e-5	-7.629e-6
0.410	3.185e-5	-7.608e-6
0.411	3.180e-5	-7.614e-6
0.412	3.181e-5	-7.613e-6
0.413	3.169e-5	-7.610e-6
0.414	3.170e-5	-7.621e-6
0.415	3.170e-5	-7.623e-6
0.416	3.164e-5	-7.615e-6
0.417	3.168e-5	-7.619e-6
0.418	3.167e-5	-7.617e-6
0.419	3.164e-5	-7.619e-6
0.420	3.168e-5	-7.623e-6
0.421	3.162e-5	-7.622e-6
0.422	3.164e-5	-7.616e-6
0.423	3.167e-5	-7.625e-6
0.424	3.164e-5	-7.624e-6
0.425	3.170e-5	-7.622e-6
0.426	3.166e-5	-7.619e-6
0.427	3.166e-5	-7.619e-6
0.428	3.171e-5	-7.619e-6
0.429	3.166e-5	-7.623e-6
0.430	3.171e-5	-7.621e-6
0.431	3.174e-5	-7.624e-6
0.432	3.168e-5	-7.622e-6
0.433	3.173e-5	-7.622e-6
0.434	3.172e-5	-7.626e-6
0.435	3.171e-5	-7.616e-6
0.436	3.175e-5	-7.622e-6
0.437	3.170e-5	-7.629e-6
0.438	3.172e-5	-7.624e-6
0.439	3.174e-5	-7.626e-6
0.440	3.170e-5	-7.616e-6
0.441	3.175e-5	-7.626e-6
0.442	3.172e-5	-7.626e-6
0.443	3.172e-5	-7.624e-6
0.444	3.178e-5	-7.620e-6
0.445	3.172e-5	-7.620e-6
0.446	3.173e-5	-7.626e-6
0.447	3.178e-5	-7.620e-6
0.448	3.173e-5	-7.620e-6
0.449	3.179e-5	-7.624e-6
0.450	3.179e-5	-7.620e-6
0.451	3.177e-5	-7.625e-6
0.452	3.183e-5	-7.621e-6
0.453	3.178e-5	-7.624e-6
0.454	3.182e-5	-7.625e-6
0.455	3.184e-5	-7.630e-6
0.456	3.181e-5	-7.627e-6
0.457	3.185e-5	-7.622e-6
0.458	3.183e-5	-7.627e-6
0.459	3.184e-5	-7.620e-6
0.460	3.189e-5	-7.626e-6
0.461	3.187e-5	-7.629e-6
0.462	3.190e-5	-7.627e-6
0.463	3.192e-5	-7.624e-6
0.464	3.185e-5	-7.624e-6
0.465	3.190e-5	-7.633e-6
0.466	3.190e-5	-7.625e-6
0.467	3.189e-5	-7.624e-6
0.468	3.194e-5	-7.634e-6
0.469	3.190e-5	-7.642e-6
0.470	3.192e-5	-7.635e-6
0.471	3.196e-5	-7.638e-6
0.472	3.191e-5	-7.636e-6
0.473	3.197e-5	-7.643e-6
0.474	3.196e-5	-7.634e-6
0.475	3.197e-5	-7.631e-6
0.476	3.202e-5	-7.629e-6
0.477	3.197e-5	-7.626e-6
0.478	3.201e-5	-7.629e-6
0.479	3.204e-5	-7.633e-6
0.480	3.200e-5	-7.634e-6
0.481	3.205e-5	-7.625e-6
0.482	3.205e-5	-7.639e-6
0.483	3.204e-5	-7.626e-6
0.484	3.210e-5	-7.630e-6
0.485	3.206e-5	-7.626e-6
0.486	3.210e-5	-7.631e-6
0.487	3.211e-5	-7.631e-6
0.488	3.209e-5	-7.633e-6
0.489	3.215e-5	-7.630e-6
0.490	3.214e-5	-7.629e-6
0.491	3.215e-5	-7.631e-6
0.492	3.222e-5	-7.625e-6
0.493	3.217e-5	-7.628e-6
0.494	3.221e-5	-7.629e-6
0.495	3.225e-5	-7.641e-6
0.496	3.219e-5	-7.635e-6
0.497	3.226e-5	-7.634e-6
0.498	3.225e-5	-7.636e-6
0.499	3.227e-5	-7.629e-6
0.500	3.231e-5	-7.631e-6
0.501	3.227e-5	-7.636e-6
0.502	3.232e-5	-7.631e-6
0.503	3.235e-5	-7.629e-6
0.504	3.231e-5	-7.633e-6
0.505	3.238e-5	-7.629e-6
0.506	3.236e-5	-7.632e-6
0.507	3.238e-5	-7.638e-6
0.508	3.245e-5	-7.629e-6
0.509	3.239e-5	-7.632e-6
0.510	3.243e-5	-7.627e-6
0.511	3.247e-5	-7.632e-6
0.512	3.251e-5	-7.627e-6
0.513	3.257e-5	-7.630e-6
0.514	3.257e-5	-7.626e-6
0.515	3.256e-5	-7.631e-6
0.516	3.262e-5	-7.632e-6
0.517	3.257e-5	-7.627e-6
0.518	3.259e-5	-7.629e-6
0.519	3.263e-5	-7.628e-6
0.520	3.263e-5	-7.636e-6
0.521	3.268e-5	-7.623e-6
0.522	3.266e-5	-7.631e-6
0.523	3.268e-5	-7.629e-6
0.524	3.274e-5	-7.628e-6
0.525	3.270e-5	-7.632e-6
0.526	3.276e-5	-7.628e-6
0.527	3.280e-5	-7.628e-6
0.528	3.275e-5	-7.632e-6
0.529	3.282e-5	-7.629e-6
