movie_name,slice,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
7937,1, 19.1083, 34.8725, 30.5509, 26.6945, 26.5949, 30.9487, 15.1792, 23.8960, 17.7602, 12.8009, 24.9167, 31.5818, 21.6011, 17.8047, 26.8395,  9.0150, 39.1227, 47.6531, 31.8400, 22.2428, 23.6720, 40.0850, 32.8704, 18.4155
7937,1, 32.8916, 65.4761, 59.3312, 65.3493, 61.1311, 60.6011, 45.2536, 63.2908, 68.3405, 62.0133, 64.3101, 68.8673, 48.1331, 66.8124, 65.0635, 69.3219, 65.0261, 63.9146, 56.5332, 60.7032, 66.7361, 66.3928, 64.4553, 60.6391
7938,1, 28.7981, 47.7907, 22.8563, 22.5265, 18.3805, 22.7602, 33.0521, 23.2142, 27.5900, 12.9890, 33.3927, 41.0989, 11.9724, 19.3092, 20.4548, 44.0698, 40.2049, 19.1168, 62.1783, 44.5831, 40.8379, 28.1890, 10.3069,  4.9130
7938,1, 20.2064, 37.6127, 32.5000, 29.5783, 27.0229, 36.8155, 14.4432, 20.9102, 17.4480, 11.3477, 29.7212, 32.2208, 19.0320, 16.4814, 21.3744,  9.3607, 36.9602, 42.6707, 34.3887, 26.4979, 24.2658, 34.6333, 27.0250, 16.1177
7938,1, 28.3859, 66.5707, 59.7313, 66.3013, 58.6392, 59.9218, 46.9858, 64.0036, 68.7320, 62.6184, 64.6437, 69.1768, 54.3233, 67.8794, 66.9962, 71.0970, 64.1616, 60.0239, 62.0238, 59.0194, 68.5658, 64.6181, 68.4374, 56.2031
7939,1, 28.2815, 47.6961, 28.7026, 22.8897, 21.0357, 35.3448, 30.7068, 28.3553, 32.5934, 15.4458, 40.7929, 54.8865, 13.7903, 24.4373, 26.6621, 58.0334, 50.3645, 28.1529, 64.8319, 47.1856, 53.5550, 35.0810, 11.3075,  5.1598
7939,1, 34.6625, 56.2531, 46.5255, 38.5170, 36.1871, 46.7761, 27.5520, 27.6245, 40.1223, 19.6326, 49.6390, 56.9256, 10.8924, 18.6798, 20.7500, 39.3830, 38.9995, 30.4010, 61.6121, 43.1631, 51.6625, 28.7098, 10.3977,  5.8571
7939,1, 19.1100, 49.7345, 56.5923, 58.9229, 42.5757, 59.6563, 26.2037, 49.7546, 63.6304, 49.6218, 45.8455, 68.2440, 19.2614, 55.8127, 57.0522, 61.9845, 54.5224, 61.4753, 62.4852, 53.4150, 63.1552, 52.2553, 44.4978, 51.3876
7940,1, 30.5310, 40.9234, 27.1057, 21.9625, 19.4209, 30.4063, 27.0154, 27.1522, 31.5257, 12.4864, 39.4360, 52.6374, 13.2963, 21.0019, 26.6243, 58.0633, 48.6597, 27.2191, 55.2969, 47.7743, 49.5687, 35.6002,  8.7421,  5.1536
7940,1, 32.4541, 56.2295, 42.4466, 33.0047, 33.2553, 40.2026, 29.9638, 27.1860, 38.2721, 19.3489, 41.4208, 53.3909, 11.2951, 17.9440, 22.7134, 36.3223, 36.6160, 31.4159, 49.6066, 33.4214, 33.0785, 28.9084, 22.0904, 10.2775
