Slice,X,Y
24,389.333,271
24,445,276.667
24,449.667,239
25,180.667,356.333
25,186.333,392.667
25,245,380.667
25,240.333,344.333
25,311,295.333
25,310.333,334.667
25,373.667,338.333
25,374,297.333
26,180.667,353.333
26,186,390.667
26,244.333,379
26,239.667,341.333
26,310,292.667
26,309.667,332
26,372.667,335
26,374.333,295.667
27,181,352.667
27,186.333,389
27,244,377.667
27,240.333,340
27,310,292.333
27,310,331.333
27,373.667,335.333
27,373.667,294
28,170.667,430
28,188,463.667
28,240,429.667
28,222.333,395
28,307.667,350.333
28,316,384
28,378.667,365
28,369,329.667
28,469,212.667
28,475.333,249.667
28,534,241.667
28,528,204.333
29,125.5,423.5
29,144.5,457
29,196,424.5
29,179,389.5
29,262.5,345
29,272,376.5
29,333.5,357.5
29,323,323.5
29,425,207.5
29,430,243
29,487,235.5
29,481,198.5
30,125.5,427
30,143.5,460.5
30,195,426.5
30,176.5,393
30,262.5,346.5
30,271,379
30,332.5,360
30,323,325
30,423.5,209
30,429,245
30,486.5,237
30,481.5,199.5
