File number,L,a,b
311.0,3.52155304086,1.53487673055,-4.30483440705
312.0,3.80742576915,1.45695545956,-4.62042028747
313.0,4.13559781215,1.75407217346,-5.22942434965
314.0,4.62180858433,1.46547875234,-5.33528268721
315.0,5.05174055265,1.47347539686,-5.72459160358
316.0,5.46784564009,1.67020236872,-6.22334316744
317.0,5.90860602302,1.75122783473,-6.99321006468
318.0,6.38666866175,1.47527932949,-7.14471632608
319.0,6.84260797394,1.30252916442,-7.55737790371
320.0,7.22156512464,1.37259502864,-7.87336530541
321.0,7.62523443814,1.12908962735,-7.97518413091
322.0,7.98650541113,0.981110442084,-8.28770419428
323.0,8.28433557174,1.23970836117,-8.37867582768
324.0,8.49584233704,0.83173301589,-8.80481873448
325.0,8.68656430333,1.27075754026,-9.4262107201
326.0,8.9141787734,0.822872074485,-8.99926000833
327.0,9.07021095138,0.793022965758,-9.12638403779
328.0,9.29066715968,0.942534959289,-9.26800376057
329.0,9.30931676444,1.24397598934,-9.61660060275
330.0,9.46980331886,0.976306376004,-9.67402588701
331.0,9.46882350595,1.01705072167,-9.72608074503
332.0,9.71917191474,0.720913423607,-9.7643077631
333.0,9.77075296966,0.611957404286,-10.0255504667
334.0,9.86326393869,0.883514835521,-10.0420680583
335.0,9.86561174853,0.751236793836,-9.753216382
336.0,9.89867140809,0.815408939643,-10.1456180053
337.0,9.9267571363,0.8098654621,-10.035935039
338.0,9.96417777043,1.08355392424,-10.328341544
339.0,10.0501988476,0.819793044448,-10.1335093134
340.0,10.0573132743,1.11459958037,-10.2517399679
341.0,10.0978636737,0.802486653563,-10.2280096925
342.0,10.0749176833,0.834269592823,-10.3219878219
343.0,10.1208969269,1.08032772489,-10.2264129308
344.0,10.0832261932,1.16121100198,-10.4137222667
345.0,10.1895114604,0.847532253883,-10.46025223
346.0,10.1850711833,0.78570356034,-10.3453268977
347.0,10.1846111036,0.706182094443,-10.1465122045
348.0,10.2241112296,0.531880611878,-10.1229827856
349.0,10.1872626197,0.855625285916,-10.2920228888
350.0,10.2386908576,0.860878271632,-10.6004557678
351.0,10.1713311484,1.24693680661,-10.7625134971
352.0,10.1790892112,0.98707787273,-10.3719880415
353.0,10.2218789611,0.752866610704,-10.1768090351
354.0,10.2294514337,1.02505528958,-10.6439598595
355.0,10.2397730609,1.09039820965,-10.7388300283
356.0,10.2551287619,0.853694898076,-10.477352122
